,X_IMAGE,Y_IMAGE,FLUX_RADIUS,FLUX_ISO,FLUXERR_ISO,FLAGS,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,FLUX_PEAK,FLUXERR_PEAK
0,6375.5635,238.3092,13.792,-0.04705150799462786,-3.789004186053563e-05,3,19.468,4.199,-80.01,6369,257,266.807523,-28.4483867,0.0026917317882180214,0.00022651907056570053
1,6091.3271,320.8491,8.534,-0.013281389733136818,-2.514601933058949e-05,3,22.694,3.068,87.62,6091,320,266.8119145,-28.4475124,0.001861561555415392,0.00013512531586457044
2,6140.0605,345.0991,18.184,-0.05995362083367397,-4.073352962434718e-05,3,12.944,11.804,8.86,6142,347,266.811109,-28.4471373,0.002619358478114009,0.00019865571812260896
3,6104.6753,341.6218,14.184,-0.016947649906014182,-2.7369874675428706e-05,3,16.579,3.983,87.59,6104,341,266.8117092,-28.4472207,0.0022241617552936077,0.00019865571812260896
4,6109.1489,318.2231,10.49,-0.01737048892860689,-1.8357996641734843e-05,3,9.258,3.617,83.37,6109,317,266.8116302,-28.447554,0.0027887148316949606,0.00019865571812260896
5,6120.1387,349.0685,8.329,-0.022869395956050687,-2.3033672523865432e-05,3,8.664,4.081,81.67,6120,349,266.8114565,-28.4471095,0.0026856029871851206,0.00019865571812260896
6,6132.5942,329.5881,13.074,-0.006977992940273115,-1.3392261385005606e-05,3,6.849,2.885,80.21,6133,329,266.8112511,-28.4473873,0.002041496802121401,0.00019865571812260896
7,6095.9927,333.6987,4.264,-0.0021394857321945485,-7.586811654307007e-06,3,4.75,1.302,-89.9,6096,333,266.8118356,-28.4473318,0.001741928281262517,0.00013512531586457044
8,4224.8037,2915.6619,29.945,-0.0015479769628121073,-1.088375797178694e-05,35,16.051,1.323,77.69,4226,2921,266.8413714,-28.4113886,0.00034033539122901857,3.2591877243248746e-05
9,4877.7139,2933.6567,12.493,-0.027083017547061834,-3.4210816821482075e-05,3,9.3,7.762,35.15,4876,2932,266.8311074,-28.4112361,0.001551091205328703,9.122808842221275e-05
10,4444.1538,3261.3667,12.117,-0.004375803114837818,-1.7208728729527817e-05,3,14.557,2.357,86.53,4444,3261,266.8379287,-28.4066666,0.0003622784570325166,3.621227006078698e-05
11,4364.4458,3314.6816,48.937,-0.004758088071661406,-1.948230573908396e-05,3,13.165,2.057,77.55,4364,3313,266.8391919,-28.4059443,0.0003996953892055899,3.7270423490554094e-05
12,4819.9277,3716.5398,62.859,-0.02296156185802597,-3.038844380449349e-05,3,17.705,5.101,-74.23,4818,3720,266.8320233,-28.4002917,0.0006631059222854674,6.41352598904632e-05
13,4621.5835,4011.7244,9.855,-0.039792055870957146,-2.5703793616163987e-05,3,10.213,5.247,-57.43,4622,4026,266.8351178,-28.3960416,0.007358634378761053,0.00020783404761459678
14,4615.5161,4034.6753,13.227,-0.26592218753606034,-3.266404281653812e-05,3,12.657,7.647,-11.03,4610,4037,266.8353073,-28.3958889,0.013443157076835632,0.00020783404761459678
15,4672.3789,4014.3127,-2.345,-0.02033879748920781,-2.1594371959559616e-05,19,23.342,3.795,-35.26,4645,4030,266.8347547,-28.3959861,0.002619871636852622,0.00020783404761459678
16,4647.7627,4060.9036,15.025,-0.020965377758140585,-2.052486625564849e-05,3,7.494,5.293,67.25,4645,4044,266.8347547,-28.3957916,0.0023587190080434084,0.00020783404761459678
17,4603.4639,4068.7832,43.447,-0.03957257061845671,-1.9567755386097485e-05,3,9.905,3.567,-65.49,4610,4053,266.8353073,-28.3956666,0.005474702920764685,0.00020783404761459678
18,4634.6572,4060.4348,10.782,-0.02228232044939301,-1.4178918335527038e-05,3,10.325,2.357,-72.03,4643,4041,266.8347863,-28.3958333,0.0037073458079248667,0.00020783404761459678
19,4601.8369,4040.5029,4.392,-0.008441085436943482,-1.0005188983038779e-05,3,5.991,1.505,-77.68,4602,4038,266.8354336,-28.395875,0.002100251615047455,0.00020783404761459678
20,4624.9805,4061.6555,10.713,-0.054281369403467054,-1.97586653787606e-05,3,6.484,5.671,-54.55,4626,4050,266.8350547,-28.3957083,0.004730100277811289,0.00020783404761459678
21,4595.5518,4040.1953,22.922,-0.011742788359396334,-1.2047843510159604e-05,3,4.512,3.264,-11.69,4596,4040,266.8355283,-28.3958472,0.002238519722595811,0.00017919763922691345
22,4649.5015,4047.5059,6.296,-0.007741454760926598,-9.087663043262408e-06,3,5.074,1.994,85.13,4645,4043,266.8347547,-28.3958055,0.0024581074248999357,0.00020783404761459678
23,4738.084,4577.9731,13.846,-0.10206128820644794,-4.074376879553888e-05,35,20.088,6.024,-85.96,4742,4580,266.8332231,-28.3883472,0.005288131535053253,0.0002037436788668856
24,5464.0034,4422.4956,8.052,-0.0018198098110145172,-8.270684962913602e-06,3,3.27,2.181,-62.8,5464,4422,266.8218244,-28.3905413,0.00047617891686968505,4.5334378228290007e-05
25,5467.9312,4461.2275,41.59,-0.005291460261124828,-1.646555374000884e-05,3,12.162,1.94,-29.73,5466,4462,266.8217929,-28.3899857,0.0005798215861432254,4.684396481025033e-05
26,5419.4873,4484.5107,8.432,-0.0019137598852296436,-7.749983692128042e-06,3,2.902,1.901,-30.73,5419,4485,266.8225349,-28.3896663,0.0004977394710294902,4.6401724830502644e-05
