,Unnamed: 0,cenx,ceny,ella,ellb,ellt,ellr,flx_iso,flx_err,collide,em,n
0,0,6371.4316,249.7466,24.826,8.929999999999998,-73.23,18.742,116.04646161590368,0.01677225108672165,-1,33722021.34845476,33651.33121490085
1,1,6614.0068,180.8126,18.24,7.527999999999999,86.65999999999998,20.78,3.0187886570422107,0.008660938235835174,-1,1416342.1215834492,7773.97208156949
2,2,6156.1577,128.2237,14.127,5.189,-78.59,22.203000000000003,2.639221287865684,0.00862491223738323,-1,2319434.4094747417,11638.383028786337
3,3,6717.5981,41.8861,9.4,3.179,-77.29,13.855,0.7285781878572342,0.0048236733258924976,-1,1570716.079863745,11986.137396001819
4,4,6223.5859,32.6964,3.227,2.193,77.23999999999998,14.41,0.25406209994300205,0.0033733010601449194,-1,2312821.9074451798,20849.550631213267
5,5,6473.5513,113.6015,10.793,6.959,-73.0,14.449000000000002,1.2808906659506407,0.0058233163546541535,-1,1098659.090247983,7961.4876448910445
6,6,5993.3726,452.7561,19.317999999999998,7.057,87.62,14.088,12.613830660101314,0.011278686753366914,-1,5960800.9995254595,15976.871564479996
7,7,6602.709,166.1171,7.057,4.329,-63.55,13.657,0.9661364272138404,0.0047586849751983535,-1,2037373.5321638642,13575.892997253546
8,8,6052.1289,282.894,16.472,6.715,86.11,5.888,2.6892011438419186,0.008874023408696497,-1,1566285.1945864125,8629.235786767793
9,9,6426.75,260.3407,7.936,7.175,86.42,9.795000000000002,3.8191996251968257,0.006213683871826771,-1,4321044.118546223,16920.90009529043
10,10,5941.168000000001,461.2302,18.948,8.186999999999998,87.59999999999998,14.86,45.05716152723417,0.015035109322783425,-1,18711800.071274668,27407.58343221117
11,11,6139.8389,348.8845,15.52,9.406,-43.43,12.47,60.34143048108101,0.011839471908667926,-1,26629242.72495668,33196.34255656041
12,12,6410.831999999999,262.9578,11.844000000000001,7.324,70.33,14.398,4.031721134648741,0.006973544231175192,-1,2994219.6557343365,12678.420363728806
13,13,6273.6758,179.6053,5.774,3.736,49.54,7.774,0.7303153423737384,0.0042629430066245255,-1,2181055.331006046,15323.128092251025
14,14,6405.0767,318.7274,14.953,8.072000000000001,-80.83,14.925999999999998,7.131871161646142,0.009641476645736348,-1,3806570.770784322,13162.081777125495
15,15,6098.2563,330.3149,16.137999999999998,5.907,-79.46,14.276,49.72285351718954,0.009346304481924469,-1,33603094.108931765,41483.02954287565
16,16,6119.3345,345.7753,16.576,7.259999999999998,88.32,13.659,72.53520437551553,0.009676643121251776,-1,38830446.67434785,42069.47629000542
17,17,6312.6919,214.6851,6.54,3.112,74.96,9.145,0.4397309141169332,0.0039885052395853965,-1,1391904.9138516127,12420.396266938807
18,18,6606.3442,221.418,7.578999999999998,4.43,87.37,10.176,0.8059163783463631,0.004656465508581926,-1,1546372.9872821427,11551.49571021573
19,19,6088.1094,234.0381,8.043,6.431,12.99,9.136000000000001,2.176916546881592,0.0062500210328848135,-1,2711347.0363080776,13729.458596208855
20,20,6121.0244,262.7737,10.485,3.6660000000000004,-63.79,-14.613,3.4514334804335483,0.004740807153170113,-1,5784669.062501247,21599.019544568364
21,21,6189.9497,226.7494,4.935,3.698,-38.33,5.914,3.1649891726714063,0.003655215656526485,-1,11172698.283251585,36161.84011269423
22,22,6585.1714,273.4514,9.096,3.593,-86.93,12.457,0.9562040913220536,0.0051747285084004025,-1,1884876.2175745007,12839.541114839098
23,23,6138.7793,253.4711,11.91,4.39,-21.34,-0.231,7.8358370249892975,0.005818453801305577,-1,9654927.545425061,25838.38953162858
24,24,6321.4512,322.4897,14.626,7.623999999999999,28.3,7.905,2.152745333619356,0.006089444549802561,-1,1243724.260345737,7673.967240721061
25,25,6398.1587,290.3558,10.659,6.29,44.3,13.710999999999999,8.621750876315533,0.006576634647735018,-1,8284537.502595164,22491.962946802723
26,26,6162.8813,244.7637,5.774,3.563,45.22,8.892999999999999,7.788031481486005,0.0039024126677096155,-1,24387933.523808897,51850.070708052546
27,27,6380.6763,256.224,5.86,2.926,83.45,6.249,12.316088854275955,0.003227497149312841,-1,46274398.44061512,74750.2085340914
28,28,6475.2095,335.8251,9.998,6.025,69.23,16.433,2.974141924093446,0.007991191332366743,-1,3180763.735882519,14314.7300331746
29,29,6475.2822,300.0158,7.332000000000001,5.754,-43.5,14.841,1.3695248241950846,0.00600990042047725,-1,2091305.6027267762,12688.073161265811
30,30,6185.543000000001,252.1795,3.406,1.9580000000000002,36.96,5.593999999999999,2.6846472025862758,0.0021013779984815025,-1,25934017.336634845,70860.72114554186
31,31,6300.0576,281.9409,4.994,2.503,-83.92,7.316,0.4145221520992812,0.003305488016120826,-1,2136378.8147915886,17381.88157128053
32,32,6061.1289,318.8866,8.193999999999999,3.219,87.62999999999998,3.467,0.7708512857292339,0.004613716357427729,-1,1882753.9649667903,13538.718348520322
33,33,6198.3999,340.8299,13.744000000000002,10.225,-15.75,12.296,4.341549822361797,0.007636170101887667,-1,1990252.7474603937,9162.099469411169
34,34,6318.3828,301.895,5.005,4.207,-35.55,6.805,0.8254593028942047,0.0038732896331380366,-1,2525567.4904388385,16589.005189686162
35,35,6109.9248,321.1378,5.9270000000000005,2.572,89.43,6.442,14.472746675090024,0.003227497149312841,-1,61162464.2660179,88501.57850770441
36,36,6047.1802,325.2652,5.627000000000001,3.93,43.63,4.044,0.4007456827655993,0.0040797230676657215,-1,1167452.6973519796,11141.33626638557
37,37,6500.7539,338.0645,5.0,4.96,11.89,12.969000000000001,0.7681918656523599,0.00436789279758381,-1,1995528.4753457408,14154.712301796495
38,38,6023.9526,352.2845,8.891999999999998,4.796,-26.69,10.665,1.146699114031963,0.005938831646398368,-1,1732250.736151308,11516.505579518052
39,39,5915.5928,371.6858,6.852,3.3560000000000003,80.84999999999998,23.1,1.0093872643075428,0.005196562176347155,-1,2827863.357097137,17171.34783848141
40,40,5959.4565,371.8446,8.920999999999998,5.909,-62.85,14.032,1.4341382494540114,0.005991031724084508,-1,1752683.0860493411,10986.385089440617
41,41,6156.9482,366.9963,10.495999999999999,4.515,-11.89,9.401,17.74201995478471,0.0069246636463729605,-1,24119116.360962097,41854.803213593645
42,42,5972.7212,402.6082,10.248,5.853,51.91,9.325,2.114473608325857,0.006674893167406606,-1,2271038.6955921114,12108.57006193335
43,43,6125.3135,412.5611,9.504,4.35,-80.11,7.257999999999999,1.2522361606474262,0.005630552395432892,-1,1951328.8347461256,12318.31518617349
44,44,5992.5845,404.3052,8.642999999999999,4.026,69.85,10.479000000000001,1.357326994984718,0.00488200356197009,-1,2512963.085899234,14594.643324548446
