X_IMAGE,Y_IMAGE,FLUX_RADIUS,FLUX_ISO,FLUXERR_ISO,FLAGS,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,FLUX_PEAK,FLUXERR_PEAK,FLX_PEAK3SIGMA_006,FLX_PEAK3SIGMA_010,ERR_PEAK3SIGMA_006,ERR_PEAK3SIGMA_010,FLX_PEAK1PIX_006,FLX_PEAK1PIX_010,ERR_PEAK1PIX_006,ERR_PEAK1PIX_010,EM_6_065,EM_6_065_UP,EM_6_065_DOWN,EM_6,EM_6_UP,EM_6_DOWN,EM_610,EM_610_UP,EM_610_DOWN,EM_BEST
3849.2070000000003,1862.1393,7.265,2.1147396259624998,0.00533099777286875,0,5.86,3.465,-86.26,3849,1861,266.8473266,-28.4261103,0.0012069274671375751,4.036444806843066e-05,2.5243984891992786,-0.10291635863282682,0.2763386964762539,1.3139997026353607,1.6800766,0.33002788,0.061029002,0.29434583,9244984.830606317,9269132.22498547,9220841.874425426,20027450.660961773,20082000.751299426,19972923.21480504,-1.0,-1.0,-1.0,9244984.830606317
4871.3345,2939.0369,15.133,55.84050548533406,0.01549862649420236,3,16.124000000000002,10.297,5.48,4877,2937,266.8310916,-28.41116670000001,0.005563515704125166,9.122808842221275e-05,34.7380497752472,28.412172732928404,1.3325714392771464,5.115060502989392,12.543866,8.535199,0.29006582,1.2082698,4374039973.675839,4376908817.326537,4371172206.730018,80130942.77366216,80161588.69791804,80100303.99749804,-1.0,39931894.96093251,-1.0,80130942.77366216
4838.0864,2964.1628,7.795,2.638248589171368,0.005715372534693064,3,8.42,4.689,58.22,4838,2964,266.8317074,-28.4107917,0.0011742974165827036,9.122808842221275e-05,8.664349363435749,5.991561855328798,1.3511546975770508,1.3629853926934348,2.4858439999999997,1.4969624,0.31172649999999996,0.25524002,11637724.349005165,11664088.930346875,11611365.058210505,12493843.042960927,12522241.133343302,12465451.090627884,-1.0,8105707.172850551,-1.0,11637724.349005165
4621.0762,4046.427,15.936,299.0730486065971,0.021951916700194668,3,15.969000000000001,14.68,59.1,4616,4039,266.8352125,-28.395861100000005,0.024885006248950958,0.0002078340476145968,157.60644434261047,212.69666462515113,6.821733043874454,18.255470888366727,54.601788,69.6546,1.5955142,4.224906400000001,5132462124.037064,5132844122.201345,5132080125.87278,4023572585.770979,4024270621.088762,4022874619.8251967,367197683.593704,423916461.953072,317900783.9452728,367197683.593704
4672.0591,4041.5234,7.778,6.42873006021754,0.006019308005015463,3,6.525,4.803999999999999,81.34,4673,4042,266.83431260000003,-28.395819399999997,0.0024965323973447084,0.0002078340476145968,9.4737306075002,16.414779420551223,2.5699843944972844,9.251180385400836,4.336476,4.904701,0.5571691999999999,2.0629458,30399466.17606849,30431496.58665717,30367443.57393469,42871611.49036361,42919086.68485443,42824153.448180266,15010007.499998124,26885013.43749664,-1.0,30399466.17606849
4604.1592,4096.501,8.388,9.726561200769833,0.007662067916967976,3,12.265,5.66,25.55,4604,4097,266.835402,-28.395055499999998,0.002124072983860969,0.0002078340476145968,14.681307252711385,8.131913714198294,5.14813325221146,8.9683693547928,4.8390794,2.9212685,1.1696434,1.9674106,49234000.83774909,49281061.46243158,49186957.06717538,27718816.27181719,27743128.74387044,27694508.298845235,-1.0,16260008.12499797,-1.0,27718816.27181719
4730.395,4579.5845,15.526,117.60716156102824,0.01723010465639659,3,16.732,13.142000000000001,83.92,4741,4575,266.83323889999997,-28.3884167,0.012123175896704195,0.0002037436788668856,57.07459181088809,64.18547284171152,2.2966329990079637,10.19278983041302,22.340270999999998,22.460511999999998,0.5223042999999999,2.3265057000000002,3850900382.296753,4212358514.188693,4211070351.129171,170152085.80436268,170203136.77967694,170101054.66190717,79385039.68749009,91806920.89842604,-1.0,170152085.80436268
4214.269,4607.1289,17.264,10.687295339705294,0.009276376878599332,3,16.427,6.925,-82.09,4214,4608,266.8415588,-28.387958,0.0014806576073169706,0.00014762443606741726,8.042286366988495,7.7005760630567535,1.0728738868056065,2.40411724795371,2.8586864,3.064997,0.237577,0.5217510999999999,55270396.51297386,55330054.48463846,55210765.6236224,17925367.768817853,17942039.30573168,17908698.347545855,8716059.040526256,9463129.72656132,-1.0,17925367.768817853
4721.0859,4689.2427,11.07,74.48230523343928,0.012931881481207929,3,16.774,6.1670000000000025,-85.42,4723,4687,266.83352310000004,-28.386861100000004,0.01358557678759098,0.00015730340965092182,51.30194840211458,59.7138644881062,1.9685017282523207,8.938222159850197,24.54947,26.393917,0.41497782,1.892641,4337633324.6803465,4782369316.228232,4336667858.09524,499118425.57675713,500118600.5114001,498125808.6217215,71885035.93749103,83681916.83592704,62510031.24999219,499118425.57675713
4796.0469,4744.5488,7.853,15.74147340005885,0.007739260407953637,3,9.547,4.3580000000000005,-88.9,4796,4742,266.8323706,-28.386097200000002,0.005131140816956759,0.00016402288747485727,15.528119276786668,19.80041642528061,2.138516792101812,9.282712084061457,8.952864,9.172879,0.4779037999999999,2.0629144,92603772.87079825,92669907.99994436,92537671.0223019,94702629.89780566,94770871.23244303,94634423.9967823,20556885.273434933,31260015.624996096,-1.0,92603772.87079825
