Unnamed: 0,x_img,y_img,r_img,006_idx,022_idx,096_idx,flx_006,err_006,EM,R,W022,f022,w022,NLY,f044,f080,w096,obsf_096,dustf_096,gasmass,gasn,r_i,t
0,3849.0,1861.0,14.0,0,-1,0,2.354420798963225,0.00967653737108374,2371937.573076525,0.668281377864145,-1.0,-1.0,0.0,46.1745388660979,1.9647316783158493,1.8335313904057056,1.0,0.29584656736484216,-1.0,-1.0,-1.0,0.00010560861937404926,92605.30341598835
1,4870.6369,2945.3725,29.0,1,-1,1,64.87826026232949,0.2801634504865945,14858523.862534022,1.4349564453320534,-1.0,-1.0,0.0,47.63508038828392,56.699917110492365,52.94559969381786,1.0,60.948154823927005,8.955060363657054,4.026670225388147,216847.33657003485,0.00032400114066689396,152147.88113224856
52,4672.2632,4041.3443,12.0,2,0,3,7.0196904877772335,0.08097357043415998,303356613.02485687,0.1626515618665516,11.757062291836949,14.685205174396048,1.0,47.051828556904965,11.491736384044021,13.822227615469167,1.0,7.853525721510325,-1.0,-1.0,-1.0,0.00020707575908596935,4702.411764509638
2,4621.3584,4055.745,42.0,3,1,2,363.11411445138094,0.7877123599682718,339077557.86450315,1.154763395156872,819.5095536009932,820.496029136802,1.0,48.8023877708656,817.9328004789872,778.2824803989835,1.0,1107.6264870371201,342.0439665521925,153.80111355574533,4694693.459326705,0.0007936865122077409,53092.14248599431
3,4723.3634,4580.039000000002,33.0,4,2,4,123.79075898596678,0.21873927680723607,119005586.93990596,0.8397693570398843,159.1943277548578,160.37661431359174,1.0,48.07256751704341,153.18863759575962,144.98297280707047,1.0,135.47165226183657,-1.0,-1.0,-1.0,0.00045328941954344757,46294.009704791846
4,4721.8372,4688.3567,24.0,5,3,5,68.11954267929684,0.1718415138951054,250620496.72968763,0.5210736485457143,125.29299848987988,126.06268930087923,1.0,47.98055131968914,123.21799875782641,117.30075384343814,1.0,124.80525837231251,9.472104822932735,4.259160844638095,774115.6496600528,0.0004223801657766709,21163.202645167756
5,4796.3876,4742.7752,15.0,6,4,6,15.593355787293104,0.09167298147036862,161068816.21685165,0.27369696078026434,22.65388515139243,22.828675883030552,1.0,47.229929891206396,21.957600749562527,20.82952539984389,1.0,18.253283328739236,-1.0,-1.0,-1.0,0.00023740855981487462,10563.946462888645
50,4730.288,4763.0579,11.0,7,5,7,28.346832225353182,0.2794438255210615,339826795.64707494,0.3225689967334197,64.06232577174983,64.15322593125012,1.0,47.69560020707896,63.94578492208978,60.862486405110644,1.0,52.54030466511408,-1.0,-1.0,-1.0,0.00033940623181191374,10766.175202846653
51,4706.3163,4771.214,18.0,8,6,8,96.91888487329818,0.4945265743274976,458350607.47460407,0.5825313844985571,274.5071308182794,274.5501455429036,1.0,48.338085059825794,279.33313772983564,267.1988245590953,1.0,266.32053719537373,3.3176075873987543,1.4917723777626075,329056.5486126112,0.0005557525059849318,20930.383405733162
49,4651.2667,4780.3802,8.0,9,7,9,9.233514861488636,0.5522304765086975,443772018.8547068,0.18013684345237516,25.504182436776272,25.504182436776272,1.0,47.30471797075453,25.892214967717795,24.74386025317833,1.0,37.28089602061029,12.9274538502576,5.812869081281508,5936148.646179939,0.00025143500089718136,4858.681498502907
6,4787.1305,4806.1925,16.0,10,8,10,31.34333724498157,0.3129250072650662,287504999.46695286,0.34615054609061857,63.23852772295269,63.26954779415667,1.0,47.684647635712615,62.59185683026409,59.34677438693848,1.0,38.989306208208454,-1.0,-1.0,-1.0,0.00033656500314430696,12260.84048328263
45,4695.0225,4808.2663,7.0,11,9,11,6.9792373188404335,0.4123873084417161,286844544.3370262,0.16339342043049745,14.059642915149329,14.06701992348078,1.0,47.03159264758006,13.914333897368724,13.192956517251314,1.0,43.98952317758822,31.015400903951914,13.94616968248083,30269314.026393853,9.74351309068182e-05,8358.07054597088
47,4683.9105,4809.1041,6.0,12,10,12,4.227048308472382,0.3942143430125353,883254863.4345856,0.1198571780089559,20.34151969472409,20.34151969472409,1.0,47.24662455369098,22.126278868416534,21.645819725436482,1.0,132.85606508332015,111.50281017085263,50.137578925121055,72901279.66097072,6.395941651991828e-05,6664.456942419497
48,4669.883,4818.5759,13.0,13,11,13,30.86578006057231,0.9791022762430226,13922401.167025648,1.0207018031438946,28.348679341560192,28.42057314257769,1.0,47.310945908964854,26.811255282840143,25.10125250134303,1.0,46.350927360667285,21.701374261326713,9.75808917410838,9965039.127875265,0.0002526397673491051,101017.35833797896
44,4699.8965,4819.4363,7.0,14,12,15,6.9205140941245125,0.4301524642798829,247755568.81372413,0.1664057451326968,12.718144485632813,12.718144485632813,1.0,46.984117101588936,12.506792378121755,11.826781820483562,1.0,59.02899654376086,47.40077162236762,21.31390163787405,73460006.10347052,5.202253010678243e-05,13821.980078205255
46,4688.7085,4824.7072,8.0,15,13,14,11.777519793926887,0.5884393048250844,680192403.1768726,0.20051139657633016,45.88568219186767,45.88568219186767,1.0,47.5815713778559,48.365597585954454,46.80808366056542,1.0,267.05376929797814,220.92724981809505,99.34061220064385,73955177.90007468,8.192148413553796e-05,13624.199578641123
7,4815.677,4827.0,13.0,16,14,16,15.856714886395107,0.2589945730559116,112831153.80191432,0.30558302584967456,20.112645019989387,20.164020424645926,1.0,47.17141188704566,19.339185413324106,18.203771292817873,1.0,13.605734059089205,-1.0,-1.0,-1.0,0.0002269814531629797,13253.666511165733
42,4715.7433,4838.7478,9.0,17,15,17,12.678996088352427,0.399908914047428,224506503.11448863,0.2292403312656089,21.99106619411923,21.99106619411923,1.0,47.21973466062122,21.54309961867612,20.346239112147934,1.0,45.487109864800914,25.484898028569575,11.459362184219454,16662196.006228827,0.00016760094793017905,10061.569033318972
39,4692.9739,4846.8969,13.0,18,16,18,114.55290312395582,0.8371228207427386,1833281544.9489336,0.6235734145465962,932.8756989573565,932.8756989573565,1.0,48.98944765732321,1164.6772212548908,1197.2838951736207,1.0,3194.714591761381,2007.7746186650056,902.8019854649891,244934607.70827302,0.00010863477282393464,80316.1926585747
43,4654.5325,4852.2461,11.0,19,17,19,27.54415986962397,0.9593030842583647,58798320.20144071,0.5090186637049766,-1.0,21.055148630724585,0.0,47.33194433378785,28.145625854657816,26.344733960502467,1.0,52.34790580813328,26.471146312645264,11.90283173540693,6657543.193646483,0.0002567445229331589,29526.401150747948
40,4673.7402,4856.8087,11.0,20,18,20,58.432448371356685,0.843566203403098,745099596.1425115,0.446128168898288,245.15250368840336,245.20859732890392,1.0,48.31533110123983,261.0257278979262,253.559907522882,1.0,528.6324618426029,278.6798896286276,125.30926296556946,182202767.25380477,7.887271629210644e-05,56830.950482701046
37,4702.5577,4862.3935,7.0,21,19,21,41.54653250453217,0.3383117364604077,3845281640.9656014,0.3755361453343313,487.1991036882061,487.1991036882061,1.0,48.85646108840602,775.6517893222116,881.4761616392633,1.0,1353.7251611778754,470.8187364853594,211.70508190591892,157606105.37691694,0.00013161076526000884,28630.0134927865
