,X_IMAGE,Y_IMAGE,FLUX_RADIUS,FLUX_ISO,FLUXERR_ISO,FLAGS,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,FLUX_PEAK,FLUXERR_PEAK
0,5838.1323,11.6147,10.912,-0.0010019671024802139,-8.315183979840022e-06,16,5.922,4.413,85.93,5838,9,266.8159103,-28.4518324,0.00041388452518731356,3.441635999479331e-05
1,6281.9595,63.6253,10.603,-0.00048235412551391116,-6.4315982703905316e-06,0,4.231,2.557,80.75,6282,64,266.8088967,-28.4510675,0.0005792264128103852,5.469179814099334e-05
2,6178.5278,242.305,19.208,-0.02278312982960687,-2.654828550076582e-05,3,18.431,12.314,-7.83,6184,244,266.8104453,-28.4485677,0.004958941601216793,0.00017516488151159137
3,6202.918,286.7131,12.873,-0.012504440442355064,-1.9258511351851024e-05,3,13.943,8.324,82.27,6202,294,266.8101611,-28.4478732,0.006294692866504192,0.00019634499039966613
4,6136.0503,205.8544,17.038,-0.0019172022196228217,-1.0931614102112323e-05,3,7.818,6.987,-87.1,6129,224,266.811314,-28.4488456,0.0031199180521070957,0.00017516488151159137
5,6114.0938,239.2055,8.025,-0.00208736266174792,-1.023291206940435e-05,3,9.076,4.21,-43.82,6114,238,266.811551,-28.4486512,0.0038815170992165804,0.00017516488151159137
6,6119.0005,262.8614,9.498,-0.006813237805595854,-1.4866588687152334e-05,3,11.732,6.903,-28.88,6121,262,266.8114405,-28.4483179,0.0060792057774960995,0.00017516488151159137
7,5942.0596,459.7235,17.866,-0.03320489552924569,-2.7341826897998958e-05,3,16.309,11.895,-84.87,5938,460,266.8143317,-28.4455683,0.005540127400308847,0.00010648021270753816
8,6397.769,317.2908,10.799,-0.0027506387112464963,-1.1903011293464632e-05,3,8.697,6.395,-65.3,6397,317,266.8070809,-28.4475532,0.0023632626980543137,0.00023138021060731262
9,5995.5703,449.6293,22.259,-0.011001966831526069,-2.091016073973117e-05,3,15.689,9.3,-87.3,5994,458,266.8134471,-28.4455959,0.0022529212292283773,0.00010648021270753816
10,6417.5938,412.5691,16.453,-0.0029972941690335946,-1.3170237743172003e-05,0,13.467,4.674,89.78,6418,414,266.8067495,-28.446206,0.0012970565585419536,9.461245645070449e-05
11,5818.5791,324.9038,8.377,-0.00021829033602665767,-4.357079472804809e-06,0,3.202,2.311,-18.08,5818,325,266.8162269,-28.4474435,0.0005860477103851736,3.972090416937135e-05
12,5797.4214,419.1527,9.047,-0.00043994733632927644,-5.930481293360897e-06,0,5.211,1.663,-9.91,5798,419,266.816543,-28.446138,0.00061478849966079,3.9746577385813e-05
13,5879.4038,372.3784,4.347,-0.00020268113751664658,-4.402704826250101e-06,0,3.155,2.391,-1.39,5880,372,266.8152477,-28.4467906,0.0007068498525768518,7.046722748782486e-05
14,7038.5132,704.3734,26.688,-0.06575614568770308,-3.889391530964393e-05,0,20.985,20.281,-89.64,7032,693,266.797052,-28.4423288,0.0074396440759301186,0.0001748900831444189
15,6491.1123,496.0517,15.495,-0.0013641348278454948,-9.9256097597932e-06,0,6.829,5.574,70.64,6492,495,266.8055809,-28.4450807,0.0006913977558724582,4.325390909798443e-05
16,5855.4683,463.6382,7.066,-0.0002306147534849658,-4.492564876085838e-06,0,4.245,1.83,-27.09,5855,464,266.8156428,-28.4455129,0.000648018904030323,5.938647154835053e-05
17,5127.2622,662.6069,22.713,-0.00040821659472175566,-5.193983990527331e-06,0,3.863,2.725,-64.28,5127,662,266.8271423,-28.4427638,0.0005390856531448662,1.792801958799828e-05
18,6340.2275,683.8871,13.66,-0.00037348066567393425,-5.565437733072208e-06,0,5.759,2.084,-81.45,6340,684,266.8079824,-28.4424562,0.0005787499831058085,3.917798676411621e-05
19,6067.0488,728.6459,17.559,-0.0010670606102644647,-8.771301738538431e-06,0,9.065,3.253,-80.73,6067,728,266.8122947,-28.4418458,0.0005923144635744393,3.348890822962858e-05
20,5578.27,848.4839,58.492,-0.0021369093234263462,-1.2119296848254504e-05,2,10.04,3.569,-61.64,5577,851,266.8200347,-28.4401383,0.0004947909619659185,2.3959530153661035e-05
21,5500.1831,898.8107,71.372,-0.003849708455636671,-1.4178576384039815e-05,2,11.895,4.26,-77.82,5500,899,266.8212509,-28.4394718,0.0004778498550876975,1.8411084965919144e-05
22,6316.332,767.2807,11.684,-0.0007525543524476839,-7.729818147136991e-06,0,7.226,3.178,-80.32,6316,769,266.8083618,-28.4412757,0.000554997066501528,3.296689101262018e-05
23,6143.7212,899.1686,84.003,-0.0020915252330525294,-1.1657037847736723e-05,2,14.001,2.933,-77.16,6144,897,266.8110789,-28.4394984,0.0006017978303134441,3.959721288993023e-05
24,5813.3232,759.8831,5.852,-0.00014641279266831955,-4.602424172346446e-06,0,4.408,1.951,-75.6,5814,758,266.816291,-28.4414296,0.00036909745540469885,3.124183422187343e-05
25,5558.146,928.5965,57.607,-0.0034323980186493942,-1.3836186486176662e-05,2,13.358,3.342,-64.31,5555,934,266.8203823,-28.4389856,0.00052121706539765,2.23569822992431e-05
26,5702.5327,828.2487,15.543,-0.000797127443795524,-8.386967576820529e-06,0,8.207,3.051,-63.56,5702,826,266.8180602,-28.4404854,0.0004180937248747796,2.9288963560247794e-05
27,6257.6821,818.4991,7.053,-0.00023922794957952182,-5.193983990527331e-06,0,6.614,1.697,-68.68,6260,814,266.8092465,-28.4406508,0.00044154844363220036,3.888050196110271e-05
28,5232.2891,810.3097,17.856,-0.00040743520525455114,-5.419912234959612e-06,0,5.278,2.173,-76.22,5232,812,266.8254839,-28.4406804,0.0005029885214753449,3.1751209462527186e-05
29,4978.7539,884.4324,-55.052,-0.0007624947043211302,-7.794181076919091e-06,0,9.097,2.854,-86.79,4979,890,266.8294801,-28.4395972,0.0005024680867791176,2.3071055693435483e-05
30,5220.6489,892.5562,35.376,-0.0017930086591870517,-1.1211380044279982e-05,0,8.693,3.395,-77.12,5221,893,266.8256578,-28.4395554,0.0005348474369384348,2.4408554963883944e-05
31,5972.5645,851.1646,22.125,-0.0003086738013960316,-5.135948733119833e-06,0,5.733,1.844,-67.16,5973,850,266.8137798,-28.4401515,0.0004144024569541216,3.3631527912802994e-05
32,4003.9207,894.6883,9.866,-0.0006510452650894362,-8.083649763389805e-06,0,5.12,2.212,87.95,4003,896,266.8448961,-28.4395133,0.00040395831456407905,3.171603748342022e-05
33,5954.7529,904.0496,10.261,-0.0002421772600746972,-4.240870048948662e-06,0,4.445,1.581,-68.5,5955,904,266.8140642,-28.4394016,0.0004926987458020449,3.0501201763399877e-05
34,5252.8076,1131.5858,148.391,-0.0017305575564713401,-1.1157779954114994e-05,2,24.732,2.161,-80.26,5253,1133,266.8251525,-28.436222,0.0003868864441756159,2.863583358703181e-05
35,4958.958,1062.5968,27.94,-0.0008238079017711609,-8.034060280127264e-06,0,6.142,2.783,-82.44,4959,1062,266.8297961,-28.4372083,0.0006071141688153148,3.1708528695162386e-05
36,5427.7241,951.3264,16.877,-0.000943040425022915,-7.5068586917985135e-06,0,5.75,2.377,-66.2,5428,950,266.8223883,-28.4387635,0.0005073579959571362,2.167971797462087e-05
37,3792.7046,1006.4293,68.705,-0.0023392867410244426,-1.1588262205933054e-05,0,11.451,2.631,78.72,3792,1002,266.8482286,-28.4380407,0.0003650802536867559,2.0106321244384162e-05
