,cenx,ceny,ella,ellb,ellt,ellr,flx_iso,flx_err,collide
180,4859.8745,5028.1792,13.158,6.416,-64.65000000000002,10.483,10.68394,0.7642851,162
181,4771.627,4911.9614,4.612,2.382,-80.96,5.293,5.488364,0.2285099,163
182,4840.1655,5021.7407,14.082,5.212,-63.51,12.058,5.121826,0.6546188,171
183,4619.8975,5061.3237,14.559,9.892,-51.02,16.469,5.598467,0.8938214,166
184,4413.7827,4940.2529,5.042,3.452,-71.8,6.195,1.045498,0.2872325,-1
185,4613.1831,4985.4268,8.144999999999998,5.297,84.15,11.185,4.164321,0.4450569,-1
186,4616.7021,5027.5059,13.586,5.719,-53.73,23.676,2.4265519999999996,0.540109,-1
187,4599.583,4987.7515,3.63,2.388,63.66,5.064,3.278479,0.1875081,-1
188,4571.3457,5086.0742,14.424,11.111,1.44,16.219999999999995,2.800054,0.8763189,174
189,4531.8535,5051.8589,15.773,7.958,45.51,1.683,1.132774,0.554735,-1
190,5078.2139,5247.9414,17.285,11.977,-84.92,17.586,2.377115,0.9328878,177
191,4531.5103,5095.5664,9.786,8.651,-28.49,2.943,1.187244,0.5662252999999999,173
192,3969.1328,5179.3555,16.817,8.707,30.91,18.041,0.7913742,0.8759215999999999,-1
193,4761.8872,5190.978,8.013,6.515,73.62999999999998,8.505,1.38123,0.5649943,178
194,5023.8911,5237.4502,14.15,8.13,-69.72,16.506,1.352981,0.6742656,-1
195,5071.5498,5206.1587,11.375,8.425,10.6,14.954,1.725348,0.6324401,-1
196,4735.4756,5192.8799,6.533,6.027,73.83,9.683,1.520504,0.5210828000000001,-1
197,5058.6484,5219.0698,12.148,5.114,-49.24,13.69,1.533579,0.4458384,-1
198,4726.4263,5318.543,7.737,4.145,75.45,5.727,3.256771,0.5044499,179
199,6849.1968,5491.8872,27.346,10.484000000000002,-53.44,21.08,0.5526269,1.00267,-1
200,6853.6362,5469.8677,16.89,5.995,-88.29999999999998,14.107,0.4649419,0.5765819999999999,-1
201,6797.938,5471.5996,15.862,10.061000000000002,-14.93,8.374,0.4695587,0.7168076,186
202,6830.7764,5491.0444,6.866,4.515,-85.95,7.827,0.414877,0.34403199999999995,-1
203,4520.543,5889.5342,26.257,9.043,-59.09,18.778,8.412835000000001,1.278431,199
204,4869.0864,5612.6626,7.875,6.941,82.59,8.977,1.501853,0.6114509,188
205,4663.6831,5653.6182,14.6,5.674,-61.12,50.651,0.6370519,0.6238502,-1
206,4787.332,5727.4326,10.579,7.251,-87.79,9.045000000000002,17.388710000000003,0.913087,190
207,4638.0796,5895.3706,23.814,12.03,73.21,22.718,8.287306,1.29963,201
208,4697.0176,5795.7817,33.533,12.361,9.44,17.368,6.155811,1.208585,-1
209,4734.73,6049.4341,17.912,10.635,-59.07,11.441,17.884089999999997,1.338686,234
210,4762.166,5800.7974,9.73,4.375,83.08,6.475,10.16562,0.5625244,218
211,3130.3081,5957.9854,28.135,26.213,-38.95,-42.817,1.038378,0.8747285,-1
212,4811.4893,5785.3159,25.892,8.874,-70.52,-40.082,1.089008,0.5846759,220
213,4631.4614,5736.0791,10.808,6.229,-40.55,6.164,0.595149,0.5534785,-1
214,4552.1978,5883.293,20.06,7.488,-58.65,17.884,7.825029,0.882849,212
215,4367.9375,5946.8428,23.152,9.394,72.06,17.344999999999995,1.107359,1.099859,266
216,4131.2739,5685.8604,3.315,1.929,-81.12999999999998,3.755,0.3773872,0.16688,-1
217,4887.4946,5748.9141,6.709,4.092,-87.33,6.372,1.257245,0.4287226,204
218,4658.8076,5734.6206,6.232,5.012,30.48,20.25,0.8248462999999999,0.4172001,-1
219,4122.0029,5712.9961,3.418,1.607,-78.2,3.493,0.5709815,0.1480913,-1
220,4119.9502,5797.8828,11.095,4.204,-76.34,11.274,0.7528454,0.4512709,-1
221,4588.3306,5846.3071,14.262,5.92,-48.7,13.371,8.486587999999998,0.6578016999999999,202
222,4767.9761,5775.1411,6.267,4.707,62.44,6.541,3.684809,0.4520417,-1
223,4826.1035,5872.0566,11.847,7.309,-52.62,4.528,0.8138153999999999,0.5267305999999999,250
224,4758.623,5737.2178,3.361,2.221,-55.09,5.747,0.6971522,0.1828079,-1
225,4757.4185,5889.2192,13.325,12.854,48.11,20.411,5.277339,0.9561076,192
226,4719.4009,5838.4067,11.009,6.07,79.93999999999998,18.162,4.939224,0.5786913,210
227,4729.041,5780.1743,5.569,4.218,31.22,8.088,0.9769237,0.3608238,-1
228,4823.9814,5829.624,9.882,7.506,-64.54,-51.927,0.6347044,0.4554939,-1
229,4251.5303,5845.7788,12.523,6.262,-54.52,17.698,0.4529469,0.6114509,-1
230,4148.541,5846.126,7.364,4.181,73.73999999999998,10.835,0.703237,0.4001643,-1
231,4674.9155,5832.2559,6.246,2.423,76.22,23.496,2.039159,0.29084560000000004,232
232,4695.3755,5842.2373,6.937,5.531,-52.54,24.197,2.206559,0.4315551,235
233,4607.9009,5866.8994,11.703,6.323,-23.59,15.399,6.883486,0.5780894,-1
234,4800.8823,5901.9312,15.091,5.845,-47.59,22.573,2.346308,0.5563016000000001,-1
235,4744.3608,5855.7192,8.008,4.118,-78.45,4.992,3.347855,0.3810021,-1
236,4479.2773,5896.0684,10.949,5.613,-68.91,11.831,1.152176,0.5455599,-1
237,4802.2852,5935.0737,13.489,5.725,-76.21,16.179,3.120978,0.6438954,243
238,4780.5547,5866.8081,5.961,3.623,55.29,8.771,2.021083,0.33739080000000005,-1
239,4458.6768,5905.2109,9.143,4.929,-65.18,13.674,1.0072919999999999,0.47127,-1
240,4721.0708,5859.0747,4.551,2.542,80.67,7.437,4.444791,0.2231143,-1
241,4819.8608,6037.8623,15.124,9.97,87.26999999999998,13.094,1.365553,0.707028,-1
242,4559.7886,5855.8755,4.418,1.935,-33.15,4.919,7.189786,0.1893555,-1
243,4432.4077,5925.9561,7.691,6.148,-51.05,9.86,0.7653904999999999,0.4520417,-1
244,4585.0532,5871.3682,3.886,2.711,-41.78,5.665,6.062014,0.2069245,-1
245,4404.6143,6044.146,19.06,8.134,54.01,19.629,0.8304602,0.8875680999999999,293
246,4762.2114,5908.269,7.631999999999999,3.733,73.09,11.302,4.9099010000000005,0.3311423,-1
247,5436.8345,6068.4214,12.336,9.833,-50.1,12.827000000000004,5.322183,0.9180298,284
248,4680.0166,5922.2417,5.54,4.322,-42.7,8.654,6.927269,0.3470543,227
249,4475.373,5924.2402,6.447,4.37,-24.3,9.871,1.787022,0.3665667,255
250,4597.1104,5997.4849,11.238,8.464,56.37,13.36,3.549212,0.6490111000000001,248
251,4457.9023,5940.0649,6.925,5.381,-84.65999999999998,4.153,0.9804121,0.3891384,-1
252,3064.5745,5996.3081,13.005,5.465,-72.23999999999998,8.685,0.7782546,0.4323611,-1
253,4575.2231,5926.2778,4.068,3.133,-60.1,15.76,2.0192650000000003,0.2761096,-1
254,3138.9622,5982.1064,14.462,7.025,60.64,19.222,1.26623,0.4466185,-1
255,4591.3125,5930.2036,9.527,3.633,5.58,22.905,2.402193,0.4192809,-1
256,4792.3955,5970.2046,7.312999999999999,5.031,-48.59,10.889,3.623541,0.4528111,246
257,4011.5811,6211.4551,25.926,11.276,-55.92,19.114,13.502709999999997,1.320753,263
258,4797.9204,6019.6621,13.305,6.077,-60.57,11.865,2.47731,0.5735553,-1
259,4626.2549,5945.7793,5.978,4.34,-52.66,9.814,2.715916,0.3613059,249
260,4784.1606,6000.8247,13.002,4.528,-51.22,44.063,2.214438,0.4971513,-1
261,4805.5918,5971.0,7.304999999999999,3.55,-78.12999999999998,8.814,3.035251,0.3348015,246
262,4667.8804,5926.5913,3.075,2.697,-40.54,4.792,6.405824,0.1911851,227
263,4514.0571,5977.9937,11.547,4.889,-58.14,-0.461,1.435283,0.4520417,-1
264,4533.8472,5970.5386,6.346,3.42,-52.06,6.522,0.8029718,0.3160824,275
265,4466.8389,5997.5596,19.792,8.021,25.24,46.124,1.435516,0.5783904000000001,283
266,5233.7095,6005.4673,9.642,5.47,-21.68,6.486,4.047308,0.6157060000000001,276
267,4516.2446,6008.3037,8.990999999999998,5.852,-32.7,11.729,4.042516,0.5173954,-1
268,4920.4995,6059.0449,9.305,6.222,72.12,12.982,0.4381786,0.5471528,-1
269,4399.8945,5991.4312,5.298,2.927,84.54,23.89,0.5136426000000001,0.28110739999999995,-1
270,4522.583,6026.0962,11.614,8.304999999999998,11.64,11.592,4.138064,0.7539673,195
271,4848.0542,5974.4336,7.402999999999999,2.803,-38.47,9.042,0.5585435,0.2996879,-1
272,3123.1021,5985.771,4.271,3.983,-57.52,7.99,0.3667728,0.2884419,-1
273,4350.9092,6039.4365,12.955,5.863,-16.18,16.396,0.5402490999999999,0.5512727999999999,-1
274,3980.9189,6180.2993,18.821,8.676,-52.12,12.103,0.7626863,0.8480560999999999,-1
275,4608.6992,6042.3052,14.164,6.887,-8.41,16.036,3.96004,0.7104662,281
276,4386.0308,6012.3447,5.214,4.17,44.89,7.562999999999999,0.7751958999999999,0.3220828,287
277,4589.4863,6013.8989,5.143,4.182,-87.83,11.051,2.712267,0.3099659,285
278,3035.8757,6092.4907,10.923,4.552,74.01,10.893,2.768795,0.501335,303
279,3086.2947,5999.6782,3.028,2.541,-32.06,14.141,0.3963097,0.2151717,-1
280,4038.7776,6104.0796,12.71,6.195,-56.53,10.769,0.4112149,0.5729481000000001,-1
281,4540.3765,6063.915,16.385,6.987,10.15,-17.259,1.157241,0.5955888,296
282,3115.0366,6136.9883,21.348,11.427,11.02,14.189,1.318927,1.092555,305
283,3180.1621,6031.561,6.714,3.055,53.85,6.864,3.053126,0.2585294,-1
284,3006.2793,6110.085,12.524,12.029000000000003,-13.99,22.037,0.7868143,0.6719383,-1
285,3928.9587,6231.8809,13.721,9.712,-83.17,12.219,4.443953,1.083596,312
286,3050.4148,6109.46,10.369,5.448,78.82,10.814,2.489787,0.5319915,299
287,4633.9805,6146.5283,13.886,4.906,-66.82,41.462,0.5480191,0.5695966,-1
288,4034.3711,6149.3716,12.352,7.352,-48.11,13.58,0.5100513,0.6709014,-1
289,4681.6221,6086.0493,11.927,4.823,17.559999999999995,27.162,1.068201,0.4760471,288
290,4641.9438,6042.7666,3.899,2.554,-32.61,5.58,3.795175,0.2069245,281
291,4650.5967,6064.0615,7.448,3.358,31.98,10.06,1.443835,0.3703459,291
292,5456.499,6074.2104,6.052,2.289,-59.22,6.319,1.1226980000000002,0.2996879,-1
293,4556.3877,6110.644,9.243,6.526,38.24,10.993,0.6482087,0.5634519,-1
294,4640.3237,6061.6743,4.741,2.567,-55.24,7.469,1.53636,0.2461127,291
295,4034.9548,6087.7168,6.076,4.108,-48.88,9.514,0.401715,0.34403199999999995,-1
296,4709.4873,6080.8848,5.597,3.955,-9.31,8.29,1.32292,0.3149792,292
297,3178.855,6158.9614,9.709,7.578999999999998,-60.22,10.648,0.7061863,0.6157060000000001,295
298,4080.3206,6119.855,6.785,3.663,-66.7,21.44,0.34296370000000004,0.3404721,-1
299,4637.2188,6109.7627,8.045999999999998,4.045,-68.81,28.272,0.5043586,0.3641849,-1
300,4541.2759,6125.5205,7.296999999999999,5.201,28.39,9.934,0.6047189,0.4539628,310
301,3899.2588,6339.9692,20.856,8.55,-73.40999999999998,11.798,0.9879596,0.9669687,323
302,4038.6636,6124.4517,3.917,3.376,85.09,8.974999999999998,0.5077487,0.2418322,-1
303,3074.1492,6131.4248,6.142,3.377,26.06,7.211999999999998,1.869667,0.30487020000000004,-1
304,3073.0042,6111.9951,3.774,1.88,16.39,4.163,0.4596665,0.1779836,-1
305,3059.0015,6123.0044,3.025,1.907,53.2,3.966,2.083988,0.1538558,-1
306,3455.3865,6460.103,21.426,8.416,-81.82,15.661,1.583882,1.139957,325
307,4045.6699,6342.1221,20.955,9.003999999999998,65.6,8.181,1.3593670000000002,0.6773562,-1
308,4100.8325,6248.8149,12.957,6.207,49.03,15.202,1.076196,0.533951,315
309,4085.2749,6191.9209,5.429,5.196,73.78,10.418,0.8381467999999999,0.35694390000000004,-1
310,4045.2952,6384.4253,15.108,8.538999999999998,58.65,5.498,0.4297612,0.5834839,-1
311,4097.9502,6327.041,11.426,8.053,-26.9,9.08,1.089057,0.6527548999999999,-1
312,4689.6064,6275.4092,10.695,7.899,-64.78,19.599,0.34585,0.6238502,-1
313,3978.7708,6307.1631,21.045,10.127,-39.26,25.83,1.57401,0.7409266999999999,-1
314,4006.0264,6263.96,9.829,8.326,42.95,15.373,3.32234,0.6031392,317
315,4128.9824,6310.0498,9.475,5.376,-66.69,10.971,0.5159689,0.5170589,-1
316,4045.0574,6316.7358,18.682,8.989,50.23,17.779,1.323538,0.7350304,319
317,4092.9832,6307.7588,7.977999999999998,4.948,85.04999999999998,6.372,0.6512931,0.3823702,-1
318,3906.5737,6231.8271,3.662,2.221,-46.92,7.048,0.4065337,0.1808937,-1
