,cenx,ceny,ella,ellb,ellt,ellr,flx_iso,flx_err,collide
0,7030.6929,695.9067,19.711,10.402,-74.98,16.942,54.44069531548391,0.051928650264476475,-1
1,3841.6951,1436.3898,3.805,3.17,-65.99,7.360999999999998,1.093870222166773,0.011503030718416402,-1
2,5087.0825,1447.6462,4.574,3.601,45.46,9.751,1.5587126821643513,0.013453216039626518,-1
3,3823.198,1503.5668,7.424,3.406,-68.83,11.99,2.8544173417932788,0.016796725985684737,-1
4,4396.8647,1478.871,5.004,2.639,-9.31,7.636,1.705410152959912,0.013979906822426419,-1
5,3815.8547,1547.1195,3.718,3.055,56.52,8.326,0.9212673911122624,0.010891804435239502,-1
6,2303.3188,1538.6659,3.0,2.312,-28.67,5.81,0.6864224645338639,0.008720426380835507,-1
7,4953.0347,1556.7594,2.901,2.224,-36.14,6.836,0.5535770606037577,0.008272922396206249,-1
8,4315.9136,1647.0098,5.127,3.852,-22.63,12.818,1.590059872493298,0.014142151375062256,-1
9,4543.8086,1692.2615,7.599,6.627,-26.8,12.042,5.791445248593299,0.022989526848211983,-1
10,4341.4619,1657.2522,4.304,3.644,-6.08,8.314999999999998,2.4065294243676743,0.013979906822426419,-1
11,3992.1375,1694.8333,6.98,4.461,-53.46,11.223,3.8174306156317246,0.019005727697001484,-1
12,3974.0334,1710.6670999999997,7.508,4.066,-64.6,12.608,2.6676784038891954,0.017657517372136323,-1
13,4284.5591,1680.0123,4.606,3.714,-20.13,6.384,3.58678276858358,0.015204582157601187,-1
14,4561.3335,1704.4291,5.95,3.945,17.76,16.547,2.4095341158173658,0.015841436174575604,74
15,5361.7681,1768.1141,3.049,2.346,-1.58,7.55,0.5487515437068479,0.00867671427019575,-1
16,4804.9062,1901.8569,3.067,1.883,55.95,7.392,0.4411047825496878,0.007701671687781522,-1
17,587.8691,1952.6222,2.812,2.261,54.21,3.871,0.6319416978800702,0.008272922396206249,-1
18,3828.0232,2003.0963,3.139,2.641,-21.42,5.291,0.9068633220135212,0.009710653197847693,-1
19,3850.2168,2070.3213,2.723,2.364,-35.23,7.857999999999999,0.5328350253886199,0.008226832889349285,-1
20,4254.2578,2110.8926,5.064,3.272,-56.97,7.524,2.2415586853083314,0.013843246075350531,-1
