,Unnamed: 0,cenx,ceny,ella,ellb,ellt,ellr,flx_iso,flx_err,collide,cenf_006,cenf_096,cene_006,cene_096
185,185,4957.9297,5834.5957,7.759999999999998,4.7780000000000005,4.28,9.562000000000001,12.63331305670378,0.020892656356112833,-1,0.80067,12.564057,0.7335482,1.142513
186,186,5005.5957,5871.6328,6.702000000000001,4.439,-69.32,6.937,17.508020794042892,0.02125352682773881,-1,0.7451785,19.321558,0.73950094,0.9870311
187,187,5057.7563,5904.7422,10.456,4.019,-88.5,9.085,3.381969996614276,0.01845766143380071,-1,0.4213635,7.046952,0.38177294,0.9845341
188,188,4937.8154,5898.4004,10.129,5.585,38.79,9.132,21.75005648262412,0.029469363600659926,-1,0.8081009,19.089128,0.7792671,1.1710591
189,189,4676.354,5920.6831,12.56,6.375,-19.6,16.044,91.38364904451595,0.03439873563682939,212,48.142048,72.53446,48.142048,1.6767222
190,190,5269.8584,5877.604,8.753999999999998,4.783,-25.73,13.770999999999999,5.69922318520655,0.021590755121905374,-1,0.14357674,5.353024,-0.03587074,1.0905982
191,191,4513.8608,5836.6445,6.295,2.463,-3.67,4.713,1.5821141328818915,0.0147475791308801,-1,4.7063823,0.8960766,4.7063823,1.7398759
192,192,4760.564,5830.3491,2.64,2.148,-25.56,9.275,6.492507413292223,0.008935776658432766,-1,11.55051,54.408546,11.55051,1.5252498
193,193,4673.4263,5965.8105,13.925,5.1080000000000005,86.97,57.379,39.07501952507117,0.03015805293796528,-1,38.049595,42.17482,38.049595,1.6767222
194,194,4679.7974,5834.8628,3.4739999999999998,1.614,23.58,14.11,2.37057328335303,0.007450735144929946,182,41.317116,46.56803,41.317116,1.6179376
195,195,4866.812,5850.2412,3.3739999999999997,2.968,-37.8,5.898,5.179428257140166,0.010318145580831264,-1,0.7174688,19.604624,0.66999227,1.3971266
196,196,4734.8149,6046.7993,10.32,8.746,-20.31,10.499,280.73412067205214,0.04823112265185296,162,81.435036,184.07584,81.435036,1.5040715
197,197,4689.5156,5839.5205,4.512,2.1109999999999998,-2.34,17.953,4.209083360451522,0.01001900306863667,183,44.722126,48.507748,44.722126,1.6145256
198,198,4364.873,5944.2832,8.199999999999998,6.872999999999999,74.72,14.815,9.439993754892573,0.030571277083125507,-1,7.841151,6.7846603,7.841151,1.2773464
199,199,5314.0723,5856.8682,5.211,2.543,-20.65,8.245,1.2373249104650204,0.011861063425895452,-1,0.5694594,2.3932939,0.5693261,1.0736624
200,200,5000.5674,5930.2339,7.231,5.898,-77.84,8.045,8.762836458513727,0.023137907649071168,-1,0.5264696,9.132441,0.517582,1.1000412
201,201,4840.7339,5908.6558,14.328,5.272,-12.2,56.166000000000004,9.460402814066942,0.0241195104744839,-1,2.9348102,15.720817,2.9348102,1.3763863
202,202,5292.0259,5878.4531,5.1770000000000005,3.698,-57.61,11.169,1.8052493727410557,0.014034193338413685,-1,0.039090298,3.452276,-0.3339002,1.0882086
